11:44:26.072 -> O3: 1.37 ppm, NOx: 1.56 ppm
11:44:31.182 -> O3: 1.16 ppm, NOx: 1.20 ppm
11:44:36.273 -> O3: 1.36 ppm, NOx: 1.47 ppm
11:44:41.357 -> O3: 1.08 ppm, NOx: 1.02 ppm
11:44:46.455 -> O3: 1.30 ppm, NOx: 1.34 ppm
11:44:51.508 -> O3: 1.17 ppm, NOx: 1.18 ppm
11:44:56.626 -> O3: 1.30 ppm, NOx: 1.34 ppm
11:45:01.686 -> O3: 1.15 ppm, NOx: 1.18 ppm
11:45:06.810 -> O3: 1.26 ppm, NOx: 1.24 ppm
11:45:11.898 -> O3: 1.18 ppm, NOx: 1.28 ppm
11:45:16.978 -> O3: 1.15 ppm, NOx: 1.02 ppm
11:45:22.072 -> O3: 1.20 ppm, NOx: 1.30 ppm
11:45:27.162 -> O3: 1.18 ppm, NOx: 1.11 ppm
11:45:32.266 -> O3: 1.28 ppm, NOx: 1.43 ppm
11:45:37.361 -> O3: 1.11 ppm, NOx: 1.03 ppm
11:45:42.418 -> O3: 1.21 ppm, NOx: 1.24 ppm
11:45:47.544 -> O3: 1.05 ppm, NOx: 0.95 ppm
11:45:52.596 -> O3: 1.34 ppm, NOx: 1.54 ppm
11:45:57.688 -> O3: 1.07 ppm, NOx: 1.00 ppm
11:46:02.826 -> O3: 1.29 ppm, NOx: 1.36 ppm
11:46:07.871 -> O3: 1.09 ppm, NOx: 1.11 ppm
11:46:13.003 -> O3: 1.17 ppm, NOx: 1.07 ppm
11:46:18.082 -> O3: 1.24 ppm, NOx: 1.34 ppm
11:46:23.189 -> O3: 1.07 ppm, NOx: 0.96 ppm
11:46:28.258 -> O3: 1.25 ppm, NOx: 1.32 ppm
11:46:33.343 -> O3: 1.04 ppm, NOx: 1.00 ppm
11:46:38.444 -> O3: 1.22 ppm, NOx: 1.16 ppm
11:46:43.528 -> O3: 1.18 ppm, NOx: 1.26 ppm
11:46:48.601 -> O3: 1.10 ppm, NOx: 0.96 ppm
11:46:58.821 -> O3: 1.10 ppm, NOx: 1.00 ppm
11:47:03.873 -> O3: 1.33 ppm, NOx: 1.49 ppm
11:47:08.964 -> O3: 1.04 ppm, NOx: 0.90 ppm
11:47:14.052 -> O3: 1.22 ppm, NOx: 1.30 ppm
11:47:19.173 -> O3: 1.02 ppm, NOx: 0.88 ppm
11:47:24.259 -> O3: 1.22 ppm, NOx: 1.26 ppm
11:47:29.373 -> O3: 0.98 ppm, NOx: 0.80 ppm
11:47:34.415 -> O3: 1.18 ppm, NOx: 1.22 ppm
11:47:39.507 -> O3: 0.96 ppm, NOx: 0.77 ppm
11:47:44.598 -> O3: 1.17 ppm, NOx: 1.16 ppm
11:47:49.691 -> O3: 0.97 ppm, NOx: 0.77 ppm
11:47:54.802 -> O3: 1.15 ppm, NOx: 1.16 ppm
11:47:59.892 -> O3: 1.05 ppm, NOx: 0.87 ppm
11:48:05.001 -> O3: 1.06 ppm, NOx: 1.00 ppm
11:48:10.074 -> O3: 1.14 ppm, NOx: 1.00 ppm
