12:32:47.802 -> 1.16 ppm  |  1.98 ppm
12:32:52.896 -> 0.99 ppm  |  1.84 ppm
12:32:57.991 -> 1.03 ppm  |  1.89 ppm
12:33:03.079 -> 1.08 ppm  |  1.87 ppm
12:33:08.176 -> 1.06 ppm  |  1.84 ppm
12:33:13.254 -> 0.96 ppm  |  1.76 ppm
12:33:18.359 -> 0.99 ppm  |  1.84 ppm
12:33:23.458 -> 1.03 ppm  |  1.87 ppm
2:33:08.176 -> 1.06 ppm  |  1.84 ppm
12:33:13.254 -> 0.96 ppm  |  1.76 ppm
12:33:18.359 -> 0.99 ppm  |  1.84 ppm
12:33:23.458 -> 1.03 ppm  |  1.87 ppm
12:33:28.575 -> 1.03 ppm  |  1.87 ppm
12:33:33.626 -> 1.11 ppm  |  1.98 ppm
12:33:38.734 -> 1.11 ppm  |  1.95 ppm
12:33:43.817 -> 1.01 ppm  |  1.81 ppm
12:33:48.938 -> 1.11 ppm  |  1.95 ppm
12:33:53.990 -> 1.16 ppm  |  2.01 ppm
12:33:59.117 -> 1.16 ppm  |  2.03 ppm
12:34:04.165 -> 1.03 ppm  |  1.89 ppm
12:34:09.257 -> 1.08 ppm  |  1.89 ppm
12:34:14.356 -> 1.06 ppm  |  1.89 ppm
12:34:19.440 -> 1.06 ppm  |  1.89 ppm
12:34:24.536 -> 0.94 ppm  |  1.73 ppm
12:34:29.636 -> 1.06 ppm  |  1.89 ppm
12:34:34.712 -> 1.16 ppm  |  1.98 ppm
12:34:39.803 -> 1.11 ppm  |  1.92 ppm
12:34:44.911 -> 1.16 ppm  |  2.01 ppm
12:34:50.007 -> 1.08 ppm  |  1.89 ppm
12:34:55.079 -> 1.06 ppm  |  1.89 ppm
12:35:00.171 -> 1.11 ppm  |  1.95 ppm
12:35:05.302 -> 1.06 ppm  |  1.87 ppm
12:35:10.370 -> 1.01 ppm  |  1.87 ppm
12:35:15.442 -> 0.94 ppm  |  1.79 ppm
12:35:20.536 -> 1.06 ppm  |  1.84 ppm
12:35:25.638 -> 1.01 ppm  |  1.87 ppm
12:35:30.722 -> 0.88 ppm  |  1.66 ppm
12:35:35.810 -> 0.94 ppm  |  1.79 ppm
12:35:40.937 -> 0.94 ppm  |  1.73 ppm
12:35:46.001 -> 0.94 ppm  |  1.76 ppm
12:35:51.081 -> 0.82 ppm  |  1.63 ppm
12:35:56.192 -> 0.94 ppm  |  1.76 ppm
12:36:01.303 -> 0.86 ppm  |  1.63 ppm
12:35:51.081 -> 0.82 ppm  |  1.63 ppm
12:35:56.192 -> 0.94 ppm  |  1.76 ppm
12:36:01.303 -> 0.86 ppm  |  1.63 ppm
12:36:06.356 -> 0.84 ppm  |  1.63 ppm
12:36:11.485 -> 0.92 ppm  |  1.73 ppm
12:36:16.576 -> 0.84 ppm  |  1.63 ppm
